
2021/12/17 (20:37:48) | ===> btop++ v.1.1.3
2021/12/17 (20:37:48) | ERROR: Stall in Runner thread, restarting!

2021/12/19 (11:55:41) | ===> btop++ v.1.1.3
2021/12/19 (11:55:41) | ERROR: Stall in Runner thread, restarting!

2021/12/19 (17:47:05) | ===> btop++ v.1.1.3
2021/12/19 (17:47:05) | ERROR: Stall in Runner thread, restarting!
2021/12/19 (17:47:07) | ERROR: Exception in runner thread -> Net:: -> key not found

2022/04/03 (17:50:25) | ===> btop++ v.1.1.3
2022/04/03 (17:50:25) | ERROR: Stall in Runner thread, restarting!
2022/04/03 (17:50:31) | ERROR: Stall in Runner thread, restarting!

2022/05/04 (21:17:42) | ===> btop++ v.1.1.3
2022/05/04 (21:17:42) | ERROR: Stall in Runner thread, restarting!

2022/09/29 (11:52:35) | ===> btop++ v.1.2.9
2022/09/29 (11:52:35) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/29 (14:02:06) | ===> btop++ v.1.2.9
2022/09/29 (14:02:06) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/30 (13:06:22) | ===> btop++ v.1.2.9
2022/09/30 (13:06:22) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/11/01 (10:07:54) | ===> btop++ v.1.2.12
2022/11/01 (10:07:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (14:10:59) | ===> btop++ v.1.2.12
2022/11/01 (14:10:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (14:17:20) | ===> btop++ v.1.2.12
2022/11/01 (14:17:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/11/01 (14:25:34) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:25:52) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:00) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:06) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:13) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:20) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:28) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:34) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:26:42) | ERROR: Stall in Runner thread, restarting!
2022/11/01 (14:28:07) | ERROR: Stall in Runner thread, restarting!

2022/11/01 (15:18:04) | ===> btop++ v.1.2.12
2022/11/01 (15:18:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (15:52:46) | ===> btop++ v.1.2.12
2022/11/01 (15:52:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (15:56:54) | ===> btop++ v.1.2.12
2022/11/01 (15:56:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (16:01:11) | ===> btop++ v.1.2.12
2022/11/01 (16:01:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (16:31:33) | ===> btop++ v.1.2.12
2022/11/01 (16:31:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (17:13:43) | ===> btop++ v.1.2.12
2022/11/01 (17:13:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (20:01:33) | ===> btop++ v.1.2.12
2022/11/01 (20:01:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/01 (21:11:35) | ===> btop++ v.1.2.12
2022/11/01 (21:11:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/05 (10:47:30) | ===> btop++ v.1.2.12
2022/11/05 (10:47:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/08 (15:53:21) | ===> btop++ v.1.2.13
2022/11/08 (15:53:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/10 (09:26:41) | ===> btop++ v.1.2.13
2022/11/10 (09:26:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/10 (10:04:25) | ===> btop++ v.1.2.13
2022/11/10 (10:04:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/15 (10:11:36) | ===> btop++ v.1.2.13
2022/11/15 (10:11:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/15 (12:02:10) | ===> btop++ v.1.2.13
2022/11/15 (12:02:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/18 (20:59:05) | ===> btop++ v.1.2.13
2022/11/18 (20:59:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/18 (20:59:37) | ===> btop++ v.1.2.13
2022/11/18 (20:59:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/18 (21:09:29) | ===> btop++ v.1.2.13
2022/11/18 (21:09:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/22 (20:54:26) | ===> btop++ v.1.2.13
2022/11/22 (20:54:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/22 (21:09:54) | ===> btop++ v.1.2.13
2022/11/22 (21:09:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/22 (21:12:34) | ===> btop++ v.1.2.13
2022/11/22 (21:12:34) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/25 (09:15:11) | ===> btop++ v.1.2.13
2022/11/25 (09:15:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/26 (20:15:04) | ===> btop++ v.1.2.13
2022/11/26 (20:15:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/30 (17:06:14) | ===> btop++ v.1.2.13
2022/11/30 (17:06:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/01 (09:24:16) | ===> btop++ v.1.2.13
2022/12/01 (09:24:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/01 (09:26:36) | ===> btop++ v.1.2.13
2022/12/01 (09:26:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/01 (13:15:28) | ===> btop++ v.1.2.13
2022/12/01 (13:15:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/05 (13:38:57) | ===> btop++ v.1.2.13
2022/12/05 (13:38:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/06 (12:15:28) | ===> btop++ v.1.2.13
2022/12/06 (12:15:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/06 (14:22:25) | ===> btop++ v.1.2.13
2022/12/06 (14:22:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/12 (13:00:52) | ===> btop++ v.1.2.13
2022/12/12 (13:00:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/12 (13:57:19) | ===> btop++ v.1.2.13
2022/12/12 (13:57:19) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/15 (14:35:06) | ===> btop++ v.1.2.13
2022/12/15 (14:35:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (20:15:35) | ===> btop++ v.1.2.13
2022/12/24 (20:15:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (20:23:54) | ===> btop++ v.1.2.13
2022/12/24 (20:23:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/26 (17:22:06) | ===> btop++ v.1.2.13
2022/12/26 (17:22:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/26 (17:22:57) | ===> btop++ v.1.2.13
2022/12/26 (17:22:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/26 (17:23:39) | ===> btop++ v.1.2.13
2022/12/26 (17:23:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/26 (17:28:13) | ===> btop++ v.1.2.13
2022/12/26 (17:28:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/30 (08:37:56) | ===> btop++ v.1.2.13
2022/12/30 (08:37:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/30 (09:12:37) | ===> btop++ v.1.2.13
2022/12/30 (09:12:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/03 (08:36:15) | ===> btop++ v.1.2.13
2023/01/03 (08:36:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/07 (14:25:57) | ===> btop++ v.1.2.13
2023/01/07 (14:25:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/10 (14:36:06) | ===> btop++ v.1.2.13
2023/01/10 (14:36:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/11 (09:00:17) | ===> btop++ v.1.2.13
2023/01/11 (09:00:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/11 (09:17:47) | ===> btop++ v.1.2.13
2023/01/11 (09:17:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/11 (09:32:02) | ===> btop++ v.1.2.13
2023/01/11 (09:32:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/11 (11:54:23) | ===> btop++ v.1.2.13
2023/01/11 (11:54:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/24 (11:33:06) | ===> btop++ v.1.2.13
2023/01/24 (11:33:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/28 (09:33:53) | ===> btop++ v.1.2.13
2023/01/28 (09:33:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/28 (09:49:30) | ===> btop++ v.1.2.13
2023/01/28 (09:49:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/28 (18:06:14) | ===> btop++ v.1.2.13
2023/01/28 (18:06:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/28 (18:06:28) | ===> btop++ v.1.2.13
2023/01/28 (18:06:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/28 (18:06:38) | ===> btop++ v.1.2.13
2023/01/28 (18:06:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/29 (21:01:11) | ===> btop++ v.1.2.13
2023/01/29 (21:01:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/29 (21:08:50) | ===> btop++ v.1.2.13
2023/01/29 (21:08:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/02 (10:26:59) | ===> btop++ v.1.2.13
2023/02/02 (10:26:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/10 (12:48:56) | ===> btop++ v.1.2.13
2023/02/10 (12:48:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/10 (21:15:25) | ===> btop++ v.1.2.13
2023/02/10 (21:15:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/13 (09:07:32) | ===> btop++ v.1.2.13
2023/02/13 (09:07:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/19 (12:04:51) | ===> btop++ v.1.2.13
2023/02/19 (12:04:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/17 (08:28:48) | ===> btop++ v.1.2.13
2023/03/17 (08:28:48) | ERROR: Stall in Runner thread, restarting!
2023/03/17 (08:29:09) | ERROR: Stall in Runner thread, restarting!
2023/03/17 (08:29:24) | ERROR: Stall in Runner thread, restarting!
2023/03/17 (08:30:10) | ERROR: Stall in Runner thread, restarting!
2023/03/17 (08:30:40) | ERROR: Stall in Runner thread, restarting!

2023/03/21 (07:55:59) | ===> btop++ v.1.2.13
2023/03/21 (07:55:59) | ERROR: Stall in Runner thread, restarting!

2023/06/17 (08:32:02) | ===> btop++ v.1.2.13
2023/06/17 (08:32:02) | ERROR: Stall in Runner thread, restarting!

2023/07/31 (14:36:42) | ===> btop++ v.1.2.13
2023/07/31 (14:36:42) | ERROR: failed getting network interfaces
2023/07/31 (15:02:32) | ERROR: failed getting network interfaces
2023/07/31 (15:27:59) | ERROR: failed getting network interfaces
2023/07/31 (15:30:01) | ERROR: failed getting network interfaces

2023/08/28 (21:00:32) | ===> btop++ v.1.2.13
2023/08/28 (21:00:32) | ERROR: Stall in Runner thread, restarting!
2023/08/29 (01:23:49) | ERROR: Stall in Runner thread, restarting!
2023/08/29 (03:21:41) | ERROR: Stall in Runner thread, restarting!
2023/08/29 (08:12:22) | ERROR: Stall in Runner thread, restarting!
2023/08/29 (08:12:30) | ERROR: Stall in Runner thread, restarting!

2024/06/17 (20:41:28) | ===> btop++ v.1.3.2
2024/06/17 (20:41:28) | ERROR: Stall in Runner thread, restarting!
2024/06/17 (20:41:44) | ERROR: Stall in Runner thread, restarting!

2024/07/25 (13:29:29) | ===> btop++ v.1.3.2
2024/07/25 (13:29:29) | ERROR: Stall in Runner thread, restarting!
2024/07/25 (13:29:59) | ERROR: Stall in Runner thread, restarting!
